3382 3382,8967,6373,5241,6152,6088,8076,8136,8126,6555,7875,1626,2303,3495,1171,3362,1432,3809,947,2788,1139,3517,2853,4422,6018,9391,9745,140,436,6158,3484,7207,4459,3436,8152,7853,612,9817,6868,4294,1769,9200,8130,7282,7175,6996,1449,7822,9333,4530,8472,9262,8125,7440,7009,7577,8720,6940,655,8515,8429,2128,7152,6493,8061,4169,10220,4364,8887,4118,4273,3636,35,3585,194,5586,893,5266,391,4686,9497,1862,9233,6262,6899,6610,4563,9678,9178,8542,3002,9519,2959,8584,7136,7991,5471,5817,2376,7418,3845,7045,7416,7952,8496,9129,9143,6695,9435,5691,9789,9774,8137,8723,3129,9511,8580,7964,4911,7560,9155,976,4113,523,1946,8319,3913,3921,8071,6553,9305,9294,8921,8167,8510,994,8602,8073,6935,1844,9673,5771,978,9090,4978,1336,7705,8866,9835,5213,8678,145,2462,7570,2689,8128,2093,397,8090,7275,1939,1840,9669,5706,1729,5332,8521,440,3091,9784,8804,6982,9038,8461,6968,5769,9369,9656,7719,9267,7880,4053,4847,4429,9724,8281,6626,9489,8289,5149,3938,8930,169,9976,6019,9682,9205,1673,1101,7589
5988 5988,7424,3896,5545,5787,785,6666,5311,452,4371,3361,1763,7426,2954,6156,2003,5204,7417,1443,6141,2622,6959,5681,8270,3407,2521,1226,176,6294,6560,5268,4869,3369,5188,5400,7821,6847,3567,1513,3962,4208,6321,5290,5719,7012,5150,3048,608,9605,6186,9113,4373,623,6365,7174,7823,172,3924,1852,1816,3930,4636,6225,5063,4781,4630,6244,3580,6565,1356,4188,3707,4275,6543,8445,1239,251,7743,7826,6050,6286,5796,5966,4929,5551,7725,7734,7001,2520,7962,5074,8216,3463,4386,572,5473,9945,9862,5584,96,9275,7475,8822,8213,10092,7724,3032,6350,10157,9125,74,6774,5757,4570,2595,7803,6394,3530,9681,7772,10309,4435,7677,5313,6028,338,385,4481,8294,6997,3947,6421,7751,6307,1088,7505,3493,8500,4766,5660,5373,9268,1448,1803,3916,5756,6498,6857,5993,8506,3931,1425,2177,236,6975,6330,627,6985,8097,162,8189,5939,1039,6147,7975,5848,5375,5378,3989,3774,5965,5798,5481,6037,7977,6723,1926,4002,7649,6233,6266,7503,2867,3157,7847,8012,8793,8308,2222,1643,1093,898,5687,8980,427,9658,7011,568,1174,8050
5989 5989,5476,4430,5248,2952,1133,2746,6012,5105,3874,247,2818,4126,5807,4163,5049,5613,5554,5139,4980,6254,5874,2461,4395,5505,5770,3649,5035,5321,5795,5743,1728,2495,5484,1763,5911,5469,5233,2720,3179,1156,547,9961,3472,5793,231,6009,1219,1543,2379,1141,3391,4646,986,4056,4413,3899,2049,4249,5925,5364,4437,5563,5789,3852,4512,1970,370,4082,476,5684,5021,5723,5393,4849,5685,2775,2625,3569,5768,828,4584,1347,5686,5556,315,5245,5539,3224,2698,5199,1512,5204,5546,5377,4561,4677,3240,1413,1165,3823,2188,5429,3114,2327,6141,1876,128,6035,3339,3608,2241,5259,3526,5625,4669,3262,9919,3407,667,3198,446,4997,4839,4556,3313,1280,6294,6365,6560,7389,8637,4133,2489,2480,3476,685,3666,5412,5185,6742,3928,3943,4042,2076,5428,6519,5439,4656,5059,2027,5145,3760,1941,6188,2508,3994,5741,6528,5666,4682,4212,5408,4781,5729,3627,3580,4856,4880,6565,1764,57,5903,5273,6740,4190,5531,5011,2202,8445,1143,2418,1964,7885,2744,2694,2312,3692,940,7436,855,3438,3773,7268,7606,2145,5796,3706,5966,2244
5982 5982,6111,6106,5444,4772,2469,1707,9532,2301,6190,657,927,5674,3249,2135,856,814,4482,5912,3856,4559,8377,2084,970,28,615,4264,9674,9420,9358,7989,5681,4984,4374,176,8964,5350,4320,2259,3890,7118,8693,6186,9113,9409,2250,10211,8970,1585,3930,4636,9883,5063,7592,5884,1819,240,4275,9501,1239,9001,8618,9389,4929,9615,8640,7734,7962,9243,4435,9368,975,5473,96,10076,9862,9275,9945,8213,10099,38,10092,9663,10157,7803,6394,8058,6093,4680,338,8294,6421,5658,8447,7505,2303,5373,6076,8050,6498,6272,6330,627,8725,9186,5375,7975,5798,5378,5965,8672,7977,6723,9928,9461,3791,4002,6233,6266,8012,7503,5000,2384,2222,8240,4369,7874,633,9190,6381,2525,427,7011,9292,1700,9442,2317,1772,9839,1849,9736,7259,8793,98,1583,7295,7866,1187,1393,5487,7485,7752,6329,2706,9738,3112,1093,7181,9410,9094,7245,8010,9675,5800,7876,8802,7728,7207,4990,10121,3356,8036,289,3983,6123,5594,8267,3589,7447,9597,297,6024,9727,1005,7688,8266,7804,782,8100,7699,8028,7626,6782,2496,6710,9018,8825,3634,9758,9447
5983 5983,7750,2465,7333,911,1165,6030,8157,4374,4839,2764,5583,7828,8180,2259,9409,3890,7118,8693,6314,5439,6519,4656,10099,8463,5145,10211,8366,4212,5408,7592,1819,240,9501,3692,940,8256,9001,8618,5303,9663,7832,8216,8575,3463,4386,975,8078,5745,10076,9275,4626,38,5098,10092,9300,9017,1161,7937,5797,7518,6999,5757,5306,4435,6093,1585,4680,6185,6997,9450,7929,8294,5658,8447,8871,5002,5660,5418,1145,6076,6857,6272,7599,4534,8129,7764,4382,3848,9186,8784,7975,3337,3774,6723,9928,9461,8870,7649,7847,8012,4983,5000,2384,2222,8308,4369,7874,6085,2132,9190,8980,9042,3261,8550,5965,6369,6510,1035,9839,2095,9736,10151,7259,6366,6520,7492,98,7295,126,7424,7866,1345,6481,3511,5487,7485,8407,3712,7199,5046,7181,8611,5753,9094,5234,8010,7876,8802,3306,4990,3392,7207,468,3356,9442,959,7918,6123,7120,6083,4021,6746,3589,8035,9597,8152,612,4729,8560,8695,7487,4598,5869,8607,8869,9727,8202,7699,8028,7626,8875,1772,6447,716,9209,8545,5680,8555,1560,3829,9812,5305,270,7249,4958,6351,7703,1744,2627
5980 5980,8824,7360,6122,7624,3147,6794,4480,6073,8736,8441,6141,8302,6959,6873,5681,7373,3561,7806,8157,3842,6294,6560,7790,5351,2207,2764,8180,5583,8463,7828,7775,9310,5598,9417,2417,1659,6365,8366,304,5500,8682,5914,4781,6565,3580,7380,8023,8718,8147,1872,6077,6501,8256,546,10185,6050,3055,5740,5303,5966,9117,6286,5796,5352,10277,7832,8216,9095,1884,8575,5987,8078,9731,9466,9945,7475,3934,5676,10092,9017,6048,7928,5115,10157,9125,7518,7937,4076,1233,2387,6381,7772,9108,7929,8294,5665,6421,1606,6307,8291,8871,5002,7587,5660,8801,1411,6076,6857,6498,5756,5993,9103,4534,7599,8129,6330,6985,7764,4382,4465,8097,8189,5939,10186,9186,8784,4749,6147,5375,5848,7975,5128,3989,3774,5798,9963,6723,10147,4979,2867,7649,2365,8870,7847,2384,8308,1643,2132,898,8980,9042,7247,8889,8550,7740,8694,5965,9265,5978,10112,1849,4830,8105,9736,5759,1880,6561,7259,8793,7492,3126,7295,7866,1345,6018,10051,9239,5513,10246,2891,7759,8407,9451,8370,5487,8002,6278,6329,2449,6507,5046,5263,3427,5753,9094,2163,7245,8010,5800
5981 5981,2697,6217,4900,6052,4788,8435,4672,5386,1932,5681,4669,3407,9415,7514,8830,177,2870,10189,9761,10218,7051,8680,9282,8465,9277,7958,7493,8880,9394,7364,8674,9028,8567,8409,9599,9593,8221,9687,7289,2918,7747,8897,9544,181,7406,8811,7257,2492,3680,9086,9317,1188,7469,7461,8822,9580,5711,6771,8744,2237,8508,8102,8001,4565,6188,6136,9598,9253,9250,9251,9743,9244,9616,9365,8860,9271,8876,9788,9201,8278,9514,9229,9223,9214,8907,9446,9096,8749,9081,1849,7678,8795,10160,4916,3189,5977,2224,8475,7819,7970,5355,7755,756,5729,7511,8163,7002,10052,8977,5531,8445,5538,2008,4776,4305,5592,2691,7396,7751,8085,546,7436,8618,9001,5551,8500,10309,5797,112,6775,10092,5120,822,10196,7573,7773,7957,7325,5418,2026,10157,293,6028,9837,4134,6591,5838,1023,2127,5341,9331,9190,2777,6421,9572,6772,2119,6573,613,1096,747,9268,1835,568,909,5117,10236,6330,1028,7126,5848,5375,3157,1345,4331,9363,8980,6353,4546,7459,6810,3929,3631,3733,6510,8002,4214,9524,8842,9279,9742,9332,2627,7304,7733,10051,5969,6161,6329
5986 5986,4720,4594,5959,4622,4480,8441,8471,6141,6959,4708,7373,176,6294,6560,6186,3930,9113,1239,59,6365,6250,5063,4781,6565,3580,4275,9331,6050,6286,5796,5966,4929,5473,96,9945,7475,9125,1093,338,8294,6421,6307,7505,5373,475,6076,6498,5993,5756,9103,6330,7764,10186,5939,9186,6147,8784,5375,7975,5848,3989,5798,3774,5965,6723,4002,3791,6233,6266,7503,7847,2384,2222,1643,6394,6710,8889,9965,568,7126,6561,8793,9279,9183,8195,1091,9239,4866,9451,6278,3686,6329,5263,5753,9094,9410,2586,7245,7876,5800,6390,5870,5936,3983,289,5594,6123,6408,9213,7213,8267,5864,5834,7447,5854,5922,5923,297,5869,3624,8607,9727,6022,8006,6024,7804,782,8100,7688,8266,9302,7699,8028,6782,3634,9758,6954,9930,5328,3350,8867,10060,6283,6585,9374,3630,10024,5867,9168,6504,5746,312,6409,10270,7313,1015,6511,7465,9200,8454,8314,4692,5211,5849,801,5527,1565,9005,6449,6385,9539,8108,7822,6227,5698,7591,1663,6130,6181,9770,4180,7529,8576,7114,7374,7225,6089,6401,7452,7068,6213,6789,6855,4683,7117,4941,7107,9406,8098
5987 5987,3561,4997,5500,2207,7790,7775,7740,5351,1872,4042,2076,5428,2508,8023,8147,4333,5740,5796,6286,3055,5074,2387,5352,8078,1884,5584,3633,1083,96,3934,6439,6048,5115,5665,2896,1022,3631,5978,2155,5759,4830,1532,3796,8048,5487,8044,8045,1411,5993,1659,7759,8097,945,5375,4749,5798,5128,3863,5579,4979,5513,3787,4730,2365,2867,5000,3589,1224,4983,1880,4898,5703,2136,3126,2917,3712,8047,5680,3108,2891,6279,2449,8146,5800,2163,4462,4013,3521,3392,5486,2120,3973,5140,2316,3864,5417,6580,2264,4364,6576,7830,3265,5491,5834,5166,2828,656,3494,5854,5849,5922,5923,3447,5167,3639,5041,2451,3536,4443,5694,2865,4812,1558,5291,6343,4129,6291,5511,5161,4392,3116,6064,4643,2286,407,3113,5748,3446,5414,4097,5081,1767,2466,52,6130,3665,3200,3888,5419,6089,2180,5133,4591,3591,5307,2912,971,4921,3090,2963,7943,2390,5016,3208,2410,4913,4941,354,1769,1646,3236,2297,2468,2201,6921,403,2349,9621,6192,5827,3161,8024,5387,3761,8168,3558,8142,7968,1216,416,734,7881,1782,2491,5510,4910,8144,5280,5006
5984 5984,2128,7618,6239,3906,9134,6422,6696,6615,6492,1747,8020,5734,7474,665,5643,3227,4739,6692,5843,364,7214,4117,6490,6212,7139,3472,6426,9579,806,6948,6013,7793,3284,5959,5334,5320,5343,7730,5393,2955,3155,2834,5539,3713,2340,5402,2628,5377,1206,3240,858,6566,8736,3823,4407,5068,4836,219,1932,587,2443,6317,7633,6141,7305,5241,2085,5152,394,7989,6873,5259,5705,9526,4708,9919,233,667,2521,7806,8859,3198,4997,4984,176,4839,1237,4556,177,10189,9394,7493,7289,7364,9028,9599,7406,7958,8811,9086,7469,7461,8830,9593,9761,9282,8880,8897,7747,9544,7514,9415,8680,2870,10218,8465,9277,8409,8674,9317,8221,2918,9687,7257,8567,2492,6294,6560,5107,2489,1349,714,3476,3048,3666,5412,5185,685,6742,3928,3943,9757,10080,6843,8832,5668,9386,8913,2813,8551,5350,4320,4042,2076,5428,6186,9113,6519,5439,4656,9580,2480,6771,5711,79,8744,9310,9417,8774,5598,8508,1188,7072,8102,2027,3895,2380,4693,2417,4173,8001,1469,3684,5145,2250,623,6250,4565,3760,9852,1941,9598,6136,6365,2508,9477,9253,9250,9251
